Time,GMSL
05-1961,-34.8
06-1961,-36.9
07-1961,-37.8
08-1961,-38.8
09-1961,-40
10-1961,-43.1
11-1961,-45.1
12-1961,-44.2
01-1962,-44.3
02-1962,-42.8
03-1962,-44.1
04-1962,-44.6
05-1962,-45.4
06-1962,-45.1
07-1962,-46.6
08-1962,-43.7
09-1962,-42.3
10-1962,-39.1
11-1962,-40.1
12-1962,-41.7
01-1963,-40.5
02-1963,-40.7
03-1963,-40.8
04-1963,-42.8
05-1963,-44.2
06-1963,-45.7
07-1963,-47
08-1963,-48.3
09-1963,-45.9
10-1963,-47.1
11-1963,-45.3
12-1963,-50.8
01-1964,-55
02-1964,-59.3
03-1964,-60.2
04-1964,-60.7
05-1964,-56.2
06-1964,-50.8
07-1964,-46.8
08-1964,-46.6
09-1964,-48.5
10-1964,-51.3
11-1964,-50.8
12-1964,-47.7
01-1965,-43.3
02-1965,-38.8
03-1965,-40.8
04-1965,-44
05-1965,-47.6
06-1965,-46.7
07-1965,-43.5
08-1965,-40
09-1965,-36.6
10-1965,-38.2
11-1965,-38.7
12-1965,-40.3
01-1966,-40.9
02-1966,-42.9
03-1966,-45.4
04-1966,-47.5
05-1966,-48.6
06-1966,-48.9
07-1966,-47.1
08-1966,-46.7
09-1966,-46.7
10-1966,-48.1
11-1966,-51.5
12-1966,-49.3
01-1967,-50.5
02-1967,-50.2
03-1967,-52.5
04-1967,-50.9
05-1967,-49.4
06-1967,-44.6
07-1967,-44
08-1967,-42
09-1967,-41.7
10-1967,-41
11-1967,-40.4
12-1967,-40.1
01-1968,-39.6
02-1968,-42
03-1968,-48
04-1968,-53
05-1968,-56.7
06-1968,-55.3
07-1968,-50.9
08-1968,-43.5
09-1968,-39.6
10-1968,-36
11-1968,-35.7
12-1968,-37.4
01-1969,-35.8
02-1969,-37.2
03-1969,-36.2
04-1969,-37.4
05-1969,-38.6
06-1969,-39.1
07-1969,-41.1
08-1969,-38.9
09-1969,-37.9
10-1969,-36.5
11-1969,-37.9
12-1969,-39.4
01-1970,-38.8
02-1970,-37.6
03-1970,-38.2
04-1970,-41.1
05-1970,-41.3
06-1970,-41
07-1970,-42.6
08-1970,-41.9
09-1970,-42.4
10-1970,-38.7
11-1970,-38.6
12-1970,-37.1
01-1971,-34.9
02-1971,-31.7
03-1971,-30.7
04-1971,-31.4
05-1971,-35.2
06-1971,-37.7
07-1971,-38.5
08-1971,-36.5
09-1971,-33.1
10-1971,-33.5
11-1971,-35.9
12-1971,-37.6
01-1972,-34
02-1972,-29.2
03-1972,-25.3
04-1972,-24.6
05-1972,-22.6
06-1972,-20.2
07-1972,-19.1
08-1972,-23.1
09-1972,-25.7
10-1972,-27.9
11-1972,-26.9
12-1972,-28.5
01-1973,-33.2
02-1973,-33.6
03-1973,-34.6
